Model,Total,Accuracy,Behavior,Coherence,Communication_skills,Consistency,Diversity,Empathy,Exposure,Fluency,Hallucination,Humanlikeness,Utterance
Qwen2.5-7B-FP16,3.1949,2.9769,3.1826,3.9360,3.4938,3.6120,2.5467,3.2568,2.4186,3.5325,3.0088,3.3246,3.0492
Qwen2.5-7B-BNB-4bit,3.1489,2.9020,3.1313,3.8988,3.4328,3.5172,2.5475,3.1725,2.3717,3.5712,2.9758,3.2582,3.0076
Qwen2.5-7B-AWQ,3.1539,2.9007,3.1278,3.9009,3.4541,3.5438,2.5397,3.2126,2.3877,3.5311,2.9562,3.2518,3.0401
Qwen2.5-7B-GPTQ-INT4,3.1733,2.9436,3.1853,3.9133,3.5189,3.5388,2.6003,3.1992,2.4115,3.5394,2.9705,3.2167,3.0415
Qwen2.5-7B-2:4-Sparse,2.4701,2.7494,2.2689,3.0397,2.6298,2.5325,1.7283,2.7017,1.9951,2.7370,2.3789,2.4590,2.4211
Qwen2.5-7B-Unstructured-Sparse,2.8153,2.8086,2.5652,3.5454,3.0845,3.0936,2.0301,2.9632,2.2167,3.1805,2.6791,2.9050,2.7111
Qwen2.5-14B-FP16,3.2225,3.0432,3.2080,3.9085,3.3836,3.6561,2.6589,3.2239,2.3977,3.5838,3.0726,3.4250,3.1089
Qwen2.5-14B-BNB-4bit,3.1644,3.0284,3.0733,3.8947,3.3034,3.6186,2.4864,3.1985,2.3344,3.5575,3.0189,3.3766,3.0825
Qwen2.5-14B-GPTQ-INT4,3.1545,2.9851,3.1091,3.9123,3.3507,3.5101,2.5414,3.1710,2.4063,3.4846,2.9717,3.3636,3.0482
Qwen2.5-14B-AWQ,3.1199,2.9526,3.0908,3.8472,3.2734,3.5334,2.5217,3.1694,2.3263,3.4157,2.9299,3.3420,3.0367
Qwen2.5-14B-Trim,3.1536,2.9662,3.0582,3.8553,3.2587,3.6389,2.4606,3.1882,2.2803,3.5712,3.0296,3.4558,3.0803
Qwen2.5-14B-2:4-Sparse,2.3453,2.5518,2.1731,2.9388,2.3815,2.4536,1.7729,2.4887,1.8639,2.5635,2.2816,2.3626,2.3122
Qwen2.5-14B-Unstructured-Sparse,2.8003,2.8441,2.6038,3.4632,2.9993,3.0587,2.1484,2.9244,2.2659,3.1364,2.6445,2.8151,2.6993
Qwen2.5-32B-FP16,3.2385,3.0774,3.1089,3.9496,3.6069,3.5261,2.6487,3.3505,2.6050,3.5508,3.1059,3.2609,3.0715
Qwen2.5-32B-BNB-4bit,3.1873,3.0240,3.0295,3.9217,3.5228,3.5186,2.4362,3.2958,2.5299,3.5796,3.0892,3.2587,3.0417
Qwen2.5-32B-AWQ,3.0667,3.0534,3.1223,3.8119,2.4841,3.6004,1.9538,3.0245,2.5928,3.3856,3.1128,3.5984,3.0603
Qwen2.5-32B-GPTQ-INT4,3.1811,3.0233,3.0312,3.9103,3.5323,3.5016,2.5048,3.2612,2.5549,3.5171,3.0605,3.2409,3.0352
Qwen2.5-32B-2:4-Sparse,2.4923,2.6766,2.1148,3.1677,2.7355,2.5498,1.6846,2.7240,2.2093,2.8113,2.4431,2.3868,2.4040
Qwen2.5-32B-Unstructured-Sparse,2.8366,2.9051,2.3592,3.5678,3.1993,3.1040,1.9376,3.0601,2.4420,3.1752,2.7755,2.8123,2.7016
Llama3.1-8B-FP16,2.9653,2.7253,3.1497,3.6857,2.9703,3.3585,2.5896,2.8832,2.1246,3.3544,2.7601,3.1403,2.8417
Llama3.1-8B-BNB-4bit,2.9324,2.7561,3.1081,3.6698,2.9659,3.3406,2.5301,2.8534,2.0676,3.2907,2.7128,3.0742,2.8190
Llama3.1-8B-GPTQ-INT4,2.8944,2.6795,3.1041,3.6276,2.7718,3.2934,2.5556,2.8067,1.9887,3.2341,2.6951,3.1739,2.8023
Llama3.1-8B-AWQ,2.9053,2.7279,3.1469,3.6491,2.9315,3.2128,2.5370,2.8539,2.1225,3.2419,2.6789,3.0024,2.7590
Llama3.1-8B-2:4-Sparse,1.9456,2.1270,1.8328,2.4466,1.6977,2.1203,1.4971,2.0190,1.4083,2.1781,1.8334,2.2306,1.9568
Llama3.1-8B-Unstructured-Sparse,2.5241,2.4964,2.6990,3.1153,2.3788,2.7445,2.2009,2.4687,1.8215,2.8238,2.3685,2.7156,2.4568
Llama-70B-FP16,3.1293,2.9494,3.1500,3.9075,3.0482,3.6864,2.5792,3.0530,2.0992,3.5167,2.9334,3.5546,3.0740
Llama-70B-4bit,2.9892,2.8386,3.0999,3.7471,2.7797,3.5558,2.4416,2.8830,1.9528,3.3845,2.8041,3.4340,2.9492
Llama-70B-AWQ,3.0573,2.8779,3.0715,3.8424,2.8986,3.6643,2.4924,2.9443,2.0120,3.5011,2.8692,3.4826,3.0314
Llama-70B-GPTQ-INT4,3.1034,2.9265,3.1229,3.8951,3.0012,3.6654,2.5264,2.9934,2.0635,3.5208,2.9505,3.5154,3.0603
Llama-70B-GPTQ-INT8,3.1392,2.9453,3.1990,3.9286,3.0648,3.7233,2.5720,3.0561,2.0964,3.5526,2.9515,3.5222,3.0589
Llama70B-2:4-Sparse,2.3909,2.3590,2.4489,2.9890,1.9623,2.7804,2.0208,2.3287,1.5528,2.7289,2.2525,2.8587,2.4090
Llama70B-Unstructured-Sparse,2.8051,2.7635,2.7706,3.5825,2.5159,3.3430,2.2082,2.7281,1.8162,3.2078,2.5930,3.3165,2.8159
DeepSeek-V2-Lite-16B-FP16,3.0957,3.0093,2.8108,3.8499,3.3794,3.5130,2.1975,3.2762,2.4466,3.4870,3.0087,3.1857,2.9841
DeepSeek-V2-Lite-16B-BNB-4bit,3.0507,2.9673,2.7816,3.8367,3.4065,3.4279,2.0998,3.2317,2.4732,3.4085,2.9677,3.0738,2.9337
DeepSeek-V2-Lite-16B-AWQ,2.9638,2.9366,2.6832,3.6885,3.2292,3.3416,2.2039,3.0878,2.3696,3.3085,2.8403,3.0067,2.8696
DeepSeek-V2-Lite-16B-2:4-Sparse,2.0914,2.3942,1.7735,2.5775,2.1598,2.1210,1.4742,2.2858,1.7198,2.3379,2.0684,2.1066,2.0783
DeepSeek-V2-Lite-16B-Unstructured-Sparse,2.6645,2.6968,2.3895,3.4111,2.7880,2.9054,1.9002,2.8227,2.0378,3.0588,2.6144,2.7351,2.6142
