Model,Prompt-Strict,Prompt-StdErr,Prompt-Loose,Prompt-Loose-StdErr,Inst-Strict,Inst-Strict-StdErr,Inst-Loose,Inst-Loose-StdErr
Qwen2.5-7B-Instruct-FP16,0.7172,0.0194,0.7394,0.0189,0.7926,N/A,0.8106,N/A
Qwen2.5-7B-Instruct-BNB-4bit,0.7209,0.0193,0.7449,0.0188,0.7962,N/A,0.8177,N/A
Qwen2.5-7B-Instruct-AWQ,0.7098,0.0195,0.7246,0.0192,0.7866,N/A,0.8046,N/A
Qwen2.5-7B-Instruct-GPTQ-INT4,0.7079,0.0196,0.7264,0.0192,0.7950,N/A,0.8118,N/A
Qwen2.5-7B-Instruct-2:4-Sparse,0.4547,0.0214,0.4824,0.0215,0.5863,N/A,0.6139,N/A
Qwen2.5-7B-Instruct-Unstructured-Sparse,0.6359,0.0207,0.6765,0.0201,0.7302,N/A,0.7650,N/A
Qwen2.5-14B-Instruct-FP16,0.7874,0.0176,0.8115,0.0168,0.8441,N/A,0.8621,N/A
Qwen2.5-14B-Instruct-BNB-4bit,0.7819,0.0178,0.8041,0.0171,0.8441,N/A,0.8597,N/A
Qwen2.5-14B-Instruct-AWQ,0.7763,0.0179,0.8004,0.0172,0.8405,N/A,0.8597,N/A
Qwen2.5-14B-Instruct-GPTQ-INT4,0.7893,0.0175,0.8115,0.0168,0.8501,N/A,0.8657,N/A
Qwen2.5-14B-Instruct-Trim,0.7893,0.0175,0.8059,0.0170,0.8477,N/A,0.8633,N/A
Qwen2.5-14B-Instruct-2:4-Sparse,0.5860,0.0212,0.6137,0.0210,0.6823,N/A,0.7122,N/A
Qwen2.5-14B-Instruct-Unstructured-Sparse,0.7431,0.0188,0.7634,0.0183,0.8106,N/A,0.8273,N/A
Qwen2.5-32B-Instruct-FP16,0.8004,0.0172,0.8244,0.0164,0.8585,N/A,0.8777,N/A
Qwen2.5-32B-Instruct-BNB-4bit,0.8004,0.0172,0.8189,0.0166,0.8633,N/A,0.8777,N/A
Qwen2.5-32B-Instruct-AWQ,0.8059,0.0170,0.8262,0.0163,0.8681,N/A,0.8849,N/A
Qwen2.5-32B-Instruct-GPTQ-INT4,0.7745,0.0180,0.8096,0.0169,0.8453,N/A,0.8705,N/A
Qwen2.5-32B-Instruct-2:4-Sparse,0.6821,0.0200,0.7135,0.0195,0.7638,N/A,0.7914,N/A
Qwen2.5-32B-Instruct-Unstructured-Sparse,0.7597,0.0184,0.7782,0.0179,0.8237,N/A,0.8429,N/A
Meta-Llama-3.1-8B-Instruct-FP16,0.7468,0.0187,0.7948,0.0174,0.8237,N/A,0.8585,N/A
Meta-Llama-3.1-8B-Instruct-BnB-4bit,0.7172,0.0194,0.7671,0.0182,0.8010,N/A,0.8417,N/A
Meta-Llama-3.1-8B-Instruct-AWQ,0.7412,0.0188,0.7745,0.0180,0.8189,N/A,0.8465,N/A
Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,0.7301,0.0191,0.7597,0.0184,0.8082,N/A,0.8321,N/A
Meta-Llama-3.1-8B-Instruct-2:4-Sparse,0.3937,0.0210,0.4381,0.0214,0.5252,N/A,0.5695,N/A
Meta-Llama-3.1-8B-Instruct-Unstructured-Sparse,0.6747,0.0202,0.7116,0.0195,0.7542,N/A,0.7902,N/A
DeepSeek-V2-Lite-16B-FP16,0.4307,0.0213,0.4510,0.0214,0.5372,N/A,0.5671,N/A
DeepSeek-V2-Lite-16B-BNB-4bit,0.4214,0.0212,0.4566,0.0214,0.5312,N/A,0.5683,N/A
DeepSeek-V2-Lite-16B-AWQ,0.3549,0.0206,0.3789,0.0209,0.4712,N/A,0.5036,N/A
DeepSeek-V2-Lite-16B-2:4-Sparse,0.2107,0.0175,0.2292,0.0181,0.3189,N/A,0.3453,N/A
DeepSeek-V2-Lite-16B-Unstructured-Sparse,0.2643,0.0190,0.2921,0.0196,0.3693,N/A,0.3981,N/A
Llama-3.1-70B-Instruct-FP16,0.8336,0.0160,0.8614,0.0149,0.8849,N/A,0.9053,N/A
Llama-3.1-70B-Instruct-4bit,0.8152,0.0167,0.8355,0.0160,0.8705,N/A,0.8873,N/A
Llama-3.1-70B-Instruct-AWQ,0.8447,0.0156,0.8743,0.0143,0.8921,N/A,0.9161,N/A
Llama-3.1-70B-Instruct-GPTQ-INT4,0.8447,0.0156,0.8725,0.0144,0.8945,N/A,0.9149,N/A
Llama-3.1-70B-Instruct-GPTQ-INT8,0.8392,0.0158,0.8725,0.0144,0.8909,N/A,0.9137,N/A
Llama-3.1-70B-Instruct-2:4-Sparse,0.7135,0.0195,0.7486,0.0187,0.7830,N/A,0.8177,N/A
Llama-3.1-70B-Instruct-Unstructured-Sparse,0.8078,0.0170,0.8503,0.0154,0.8645,N/A,0.8957,N/A
