Model,Personality Type,Role,Count,Extraverted,Intuitive,Thinking,Judging,Assertive
Qwen2.5-7B-FP16,ENTJ-T,Commander,10,63,60,70,60,43
Qwen2.5-7B-FP16,ESTP-T,Entrepreneur,10,75,43,57,33,40
Qwen2.5-7B-BNB-4bit,ESFJ-A,Consul,10,68,35,32,64,54.5
Qwen2.5-7B-BNB-4bit,ESFP-T,Entertainer,9,72.8,42.3,48,46.7,42.1
Qwen2.5-7B-BNB-4bit,ESTP-T,Entrepreneur,1,71,42,54,46,46
Qwen2.5-7B-GPTQ-INT4,ESTP-T,Entrepreneur,10,74.1,38.6,52.7,33.3,43.9
Qwen2.5-7B-GPTQ-INT4,ISTJ-T,Logistician,10,45,34,54,58,43
Qwen2.5-7B-AWQ,ESTP-T,Entrepreneur,10,78,47,56,39,42
Qwen2.5-7B-AWQ,ISTJ-T,Logistician,10,38,43,61,57,35
Qwen2.5-7B-2:4-Sparse,ESTP-A,Entrepreneur,10,54,36,63,49,56
Qwen2.5-7B-2:4-Sparse,ISFJ-T,Defender,10,49,48,41,54,44
Qwen2.5-7B-Unstructured-Sparse,INFP-T,Mediator,10,31,51,22,39,36
Qwen2.5-7B-Unstructured-Sparse,ISFJ-T,Defender,10,42,42,39,63,43
Qwen2.5-14B-FP16,ESTP-T,Entrepreneur,10,69.7,38.1,54.3,43.6,43.4
Qwen2.5-14B-FP16,INFJ-T,Advocate,10,46.9,70.1,41,56.2,31.7
Qwen2.5-14B-BNB-4bit,ESTJ-T,Executive,1,54,43,59,79,40
Qwen2.5-14B-BNB-4bit,ESTP-T,Entrepreneur,10,68.3,39,56,36,46
Qwen2.5-14B-BNB-4bit,ISTJ-T,Logistician,9,46,48,59,76,42
Qwen2.5-14B-GPTQ-INT4,ESFP-T,Entertainer,10,54,32,36,22,44
Qwen2.5-14B-GPTQ-INT4,ESTP-T,Entrepreneur,10,68,39,56,39,40
Qwen2.5-14B-AWQ,ENFJ-T,Protagonist,10,60,54,35,63,39
Qwen2.5-14B-AWQ,INFP-A,Mediator,10,45,71,18,49,76
Qwen2.5-14B-Trim,ENFP-T,Campaigner,10,52,54,36,24,49
Qwen2.5-14B-Trim,ESTP-T,Entrepreneur,10,69.7,38.1,54.3,43.6,43.4
Qwen2.5-14B-2:4-Sparse,INTJ-A,Architect,10,35,51,66,56,67
