Model,Belief (ZH),Desire (ZH),Emotion (ZH),Intention (ZH),Knowledge (ZH),Non-Literal Communication (ZH),Belief (EN),Desire (EN),Emotion (EN),Intention (EN),Knowledge (EN),Non-Literal Communication (EN)
Qwen2.5-7B-FP16,0.7467 ± 0.0347,0.5500 ± 0.0813,0.6833 ± 0.0415,0.6736 ± 0.0468,0.4897 ± 0.0572,0.6774 ± 0.0294,0.7817 ± 0.0330,0.5071 ± 0.0817,0.6500 ± 0.0425,0.6527 ± 0.0475,0.4931 ± 0.0572,0.7218 ± 0.0282
Qwen2.5-7B-BNB-4bit,0.7133 ± 0.0361,0.4286 ± 0.0809,0.6667 ± 0.0420,0.6762 ± 0.0467,0.4552 ± 0.0569,0.6794 ± 0.0294,0.7650 ± 0.0339,0.5214 ± 0.0816,0.6562 ± 0.0423,0.6710 ± 0.0469,0.4862 ± 0.0571,0.7301 ± 0.0279
Qwen2.5-7B-GPTQ-INT4,0.7350 ± 0.0352,0.5500 ± 0.0813,0.7021 ± 0.0408,0.6893 ± 0.0462,0.4724 ± 0.0571,0.6670 ± 0.0297,0.7750 ± 0.0334,0.5429 ± 0.0814,0.6667 ± 0.0420,0.6789 ± 0.0466,0.4655 ± 0.0570,0.7208 ± 0.0282
Qwen2.5-7B-AWQ,0.7267 ± 0.0356,0.5500 ± 0.0813,0.6792 ± 0.0416,0.6475 ± 0.0476,0.4862 ± 0.0571,0.6660 ± 0.0297,0.7733 ± 0.0334,0.5571 ± 0.0812,0.6458 ± 0.0426,0.6319 ± 0.0481,0.4483 ± 0.0569,0.7063 ± 0.0287
Qwen2.5-7B-2:4-Sparse,0.4733 ± 0.0398,0.4429 ± 0.0812,0.5646 ± 0.0442,0.4752 ± 0.0498,0.3828 ± 0.0556,0.6287 ± 0.0304,0.5233 ± 0.0398,0.4857 ± 0.0817,0.4146 ± 0.0439,0.5144 ± 0.0498,0.3690 ± 0.0552,0.6194 ± 0.0305
Qwen2.5-7B-Unstructured-Sparse,0.5517 ± 0.0397,0.5000 ± 0.0817,0.6458 ± 0.0426,0.6345 ± 0.0480,0.4483 ± 0.0569,0.6370 ± 0.0303,0.6683 ± 0.0376,0.5286 ± 0.0816,0.5854 ± 0.0439,0.6005 ± 0.0488,0.4241 ± 0.0565,0.6980 ± 0.0289
Qwen2.5-14B-FP16,0.8433 ± 0.0291,0.5929 ± 0.0803,0.7333 ± 0.0394,0.7676 ± 0.0422,0.4931 ± 0.0572,0.7249 ± 0.0281,0.8867 ± 0.0254,0.5786 ± 0.0807,0.7271 ± 0.0397,0.7311 ± 0.0442,0.4862 ± 0.0571,0.7642 ± 0.0267
Qwen2.5-14B-BNB-4bit,0.8417 ± 0.0292,0.5857 ± 0.0805,0.7104 ± 0.0405,0.7467 ± 0.0434,0.4655 ± 0.0570,0.7073 ± 0.0286,0.8917 ± 0.0249,0.5786 ± 0.0807,0.7083 ± 0.0405,0.7154 ± 0.0450,0.4897 ± 0.0572,0.7394 ± 0.0276
Qwen2.5-14B-GPTQ-INT4,0.7517 ± 0.0345,0.5857 ± 0.0805,0.7333 ± 0.0394,0.7650 ± 0.0423,0.4966 ± 0.0572,0.7032 ± 0.0287,0.8583 ± 0.0279,0.6000 ± 0.0801,0.7271 ± 0.0397,0.6971 ± 0.0458,0.4655 ± 0.0570,0.7342 ± 0.0278
Qwen2.5-14B-AWQ,0.8500 ± 0.0286,0.5714 ± 0.0809,0.7375 ± 0.0393,0.7232 ± 0.0446,0.4655 ± 0.0570,0.6815 ± 0.0293,0.8800 ± 0.0260,0.5929 ± 0.0803,0.7063 ± 0.0406,0.6997 ± 0.0457,0.4483 ± 0.0569,0.7446 ± 0.0274
