Model,Belief: Content false beliefs (ZH),Belief: Location false beliefs (ZH),Belief: Identity false beliefs (ZH),Belief: Second-order beliefs (ZH),Belief: Beliefs based action/emotions (ZH),Belief: Sequence false beliefs (ZH),Desire: Discrepant desires (ZH),Desire: Multiple desires (ZH),Desire: Desires influence on emotions and actions (ZH),Desire: Desire-action contradiction (ZH),Emotion: Typical emotional reactions (ZH),Emotion: Atypical emotional reactions (ZH),Emotion: Discrepant emotions (ZH),Emotion: Mixed emotions (ZH),Emotion: Hidden emotions (ZH),Emotion: Moral emotions (ZH),Emotion: Emotion regulation (ZH),Intention: Completion of failed actions (ZH),Intention: Discrepant intentions (ZH),Intention: Prediction of actions (ZH),Intention: Intentions explanations (ZH),Knowledge: Knowledge-pretend play links (ZH),Knowledge: Percepts-knowledge links (ZH),Knowledge: Information-knowledge links (ZH),Knowledge: Knowledge-attention links (ZH),Non-Literal Communication: Irony/Sarcasm (ZH),Non-Literal Communication: Egocentric lies (ZH),Non-Literal Communication: White lies (ZH),Non-Literal Communication: Involuntary lies (ZH),Non-Literal Communication: Humor (ZH),Non-Literal Communication: Faux pas (ZH),Belief: Content false beliefs (EN),Belief: Location false beliefs (EN),Belief: Identity false beliefs (EN),Belief: Second-order beliefs (EN),Belief: Beliefs based action/emotions (EN),Belief: Sequence false beliefs (EN),Desire: Discrepant desires (EN),Desire: Multiple desires (EN),Desire: Desires influence on emotions and actions (EN),Desire: Desire-action contradiction (EN),Emotion: Typical emotional reactions (EN),Emotion: Atypical emotional reactions (EN),Emotion: Discrepant emotions (EN),Emotion: Mixed emotions (EN),Emotion: Hidden emotions (EN),Emotion: Moral emotions (EN),Emotion: Emotion regulation (EN),Intention: Completion of failed actions (EN),Intention: Discrepant intentions (EN),Intention: Prediction of actions (EN),Intention: Intentions explanations (EN),Knowledge: Knowledge-pretend play links (EN),Knowledge: Percepts-knowledge links (EN),Knowledge: Information-knowledge links (EN),Knowledge: Knowledge-attention links (EN),Non-Literal Communication: Irony/Sarcasm (EN),Non-Literal Communication: Egocentric lies (EN),Non-Literal Communication: White lies (EN),Non-Literal Communication: Involuntary lies (EN),Non-Literal Communication: Humor (EN),Non-Literal Communication: Faux pas (EN)
Qwen2.5-7B-FP16,0.6867 ± 0.0522,0.8067 ± 0.0446,0.6750 ± 0.1395,0.8350 ± 0.0513,0.7113 ± 0.0738,0.6500 ± 0.0919,0.5000 ± 0.2007,0.8000 ± 0.1677,0.5100 ± 0.0962,0.6250 ± 0.1437,0.9000 ± 0.0596,0.4600 ± 0.0959,0.7000 ± 0.1368,0.4500 ± 0.1473,0.7500 ± 0.0934,0.7750 ± 0.1259,0.4000 ± 0.1973,0.4500 ± 0.1999,0.7500 ± 0.1300,0.5000 ± 0.2007,0.7269 ± 0.0539,0.0333 ± 0.0804,0.8750 ± 0.1033,0.5100 ± 0.0686,0.2000 ± 0.1677,0.5769 ± 0.1775,0.5500 ± 0.1473,0.6000 ± 0.1453,0.5238 ± 0.1446,0.6250 ± 0.1437,0.7071 ± 0.0376,0.6967 ± 0.0517,0.8667 ± 0.0385,0.8250 ± 0.1160,0.9300 ± 0.0360,0.6620 ± 0.0769,0.6300 ± 0.0930,0.4000 ± 0.1973,0.7500 ± 0.1784,0.4800 ± 0.0961,0.5750 ± 0.1465,0.8500 ± 0.0699,0.4300 ± 0.0953,0.6750 ± 0.1395,0.4250 ± 0.1465,0.7125 ± 0.0974,0.7000 ± 0.1368,0.4500 ± 0.1999,0.3500 ± 0.1930,0.6750 ± 0.1395,0.5500 ± 0.1999,0.7038 ± 0.0552,0.0333 ± 0.0804,0.9000 ± 0.0955,0.5100 ± 0.0686,0.2000 ± 0.1677,0.7692 ± 0.1551,0.7500 ± 0.1300,0.7250 ± 0.1336,0.7381 ± 0.1288,0.9750 ± 0.0622,0.7214 ± 0.0370
Qwen2.5-7B-BNB-4bit,0.6800 ± 0.0525,0.7467 ± 0.0490,0.6750 ± 0.1395,0.7750 ± 0.0576,0.7042 ± 0.0743,0.6100 ± 0.0939,0.3500 ± 0.1930,0.8000 ± 0.1677,0.3700 ± 0.0930,0.6750 ± 0.1395,0.8800 ± 0.0641,0.5100 ± 0.0962,0.7000 ± 0.1368,0.4750 ± 0.1478,0.6875 ± 0.0996,0.8000 ± 0.1213,0.2500 ± 0.1784,0.4500 ± 0.1999,0.7000 ± 0.1368,0.6500 ± 0.1930,0.7231 ± 0.0541,0.0333 ± 0.0804,0.7500 ± 0.1300,0.4850 ± 0.0686,0.2000 ± 0.1677,0.6538 ± 0.1718,0.5500 ± 0.1473,0.6250 ± 0.1437,0.5238 ± 0.1446,0.6250 ± 0.1437,0.7036 ± 0.0377,0.6900 ± 0.0521,0.8400 ± 0.0414,0.8500 ± 0.1101,0.8900 ± 0.0436,0.6549 ± 0.0773,0.6400 ± 0.0925,0.3500 ± 0.1930,0.7500 ± 0.1784,0.5100 ± 0.0962,0.5250 ± 0.1478,0.8600 ± 0.0681,0.4700 ± 0.0960,0.6750 ± 0.1395,0.4000 ± 0.1453,0.6625 ± 0.1015,0.7750 ± 0.1259,0.3500 ± 0.1930,0.4500 ± 0.1999,0.7750 ± 0.1259,0.6000 ± 0.1973,0.7231 ± 0.0541,0.0667 ± 0.0974,0.9250 ± 0.0864,0.4750 ± 0.0686,0.3500 ± 0.1930,0.7692 ± 0.1551,0.8250 ± 0.1160,0.8000 ± 0.1213,0.7143 ± 0.1320,0.9500 ± 0.0756,0.7250 ± 0.0369
Qwen2.5-7B-GPTQ-INT4,0.6733 ± 0.0528,0.7967 ± 0.0454,0.7000 ± 0.1368,0.8300 ± 0.0519,0.7535 ± 0.0703,0.6700 ± 0.0907,0.4000 ± 0.1973,0.8000 ± 0.1677,0.5300 ± 0.0960,0.6250 ± 0.1437,0.9200 ± 0.0544,0.5300 ± 0.0960,0.7000 ± 0.1368,0.5250 ± 0.1478,0.7250 ± 0.0961,0.7750 ± 0.1259,0.4000 ± 0.1973,0.3500 ± 0.1930,0.7500 ± 0.1300,0.5500 ± 0.1999,0.7346 ± 0.0534,0.0333 ± 0.0804,0.9000 ± 0.0955,0.4850 ± 0.0686,0.1500 ± 0.1540,0.5769 ± 0.1775,0.5500 ± 0.1473,0.5500 ± 0.1473,0.5238 ± 0.1446,0.6250 ± 0.1437,0.6839 ± 0.0384,0.6867 ± 0.0522,0.8633 ± 0.0389,0.8500 ± 0.1101,0.9100 ± 0.0400,0.6620 ± 0.0769,0.6700 ± 0.0907,0.3000 ± 0.1868,0.8000 ± 0.1677,0.5400 ± 0.0959,0.5750 ± 0.1465,0.8500 ± 0.0699,0.5100 ± 0.0962,0.6750 ± 0.1395,0.4750 ± 0.1478,0.6625 ± 0.1015,0.7250 ± 0.1336,0.4000 ± 0.1973,0.4000 ± 0.1973,0.8000 ± 0.1213,0.5500 ± 0.1999,0.7115 ± 0.0548,0.0667 ± 0.0974,0.8250 ± 0.1160,0.4850 ± 0.0686,0.1500 ± 0.1540,0.7692 ± 0.1551,0.8250 ± 0.1160,0.7000 ± 0.1368,0.8095 ± 0.1166,0.9250 ± 0.0864,0.7125 ± 0.0374
Qwen2.5-7B-AWQ,0.6933 ± 0.0519,0.7600 ± 0.0481,0.6500 ± 0.1418,0.7950 ± 0.0557,0.6761 ± 0.0761,0.5900 ± 0.0947,0.4500 ± 0.1999,0.8000 ± 0.1677,0.5200 ± 0.0961,0.6000 ± 0.1453,0.9200 ± 0.0544,0.4900 ± 0.0962,0.7000 ± 0.1368,0.5000 ± 0.1480,0.7375 ± 0.0948,0.8000 ± 0.1213,0.3500 ± 0.1930,0.5000 ± 0.2007,0.6750 ± 0.1395,0.6000 ± 0.1973,0.7077 ± 0.0550,0.0667 ± 0.0974,0.9250 ± 0.0864,0.4750 ± 0.0686,0.3500 ± 0.1930,0.5769 ± 0.1775,0.5750 ± 0.1465,0.5750 ± 0.1465,0.5238 ± 0.1446,0.6250 ± 0.1437,0.6875 ± 0.0383,0.7100 ± 0.0511,0.8367 ± 0.0418,0.8250 ± 0.1160,0.8700 ± 0.0467,0.6479 ± 0.0776,0.6000 ± 0.0943,0.3500 ± 0.1930,0.8000 ± 0.1677,0.5500 ± 0.0957,0.6000 ± 0.1453,0.8500 ± 0.0699,0.4700 ± 0.0960,0.6500 ± 0.1418,0.3500 ± 0.1418,0.6750 ± 0.1006,0.7250 ± 0.1336,0.4500 ± 0.1999,0.3500 ± 0.1930,0.7500 ± 0.1300,0.5000 ± 0.2007,0.6808 ± 0.0563,0.0333 ± 0.0804,0.7750 ± 0.1259,0.4650 ± 0.0685,0.2500 ± 0.1784,0.6154 ± 0.1752,0.7250 ± 0.1336,0.8250 ± 0.1160,0.6905 ± 0.1348,0.9500 ± 0.0756,0.7018 ± 0.0378
Qwen2.5-7B-2:4-Sparse,0.3700 ± 0.0543,0.5767 ± 0.0556,0.6000 ± 0.1453,0.2150 ± 0.0567,0.5141 ± 0.0811,0.4600 ± 0.0959,0.4000 ± 0.1973,0.5500 ± 0.1999,0.4300 ± 0.0953,0.7500 ± 0.1300,0.8100 ± 0.0763,0.5000 ± 0.0962,0.4000 ± 0.1453,0.5000 ± 0.1480,0.5750 ± 0.1059,0.6500 ± 0.1418,0.3000 ± 0.1868,0.4000 ± 0.1973,0.5500 ± 0.1473,0.5000 ± 0.2007,0.5154 ± 0.0603,0.0333 ± 0.0804,0.7750 ± 0.1259,0.3600 ± 0.0659,0.3500 ± 0.1930,0.3462 ± 0.1718,0.6500 ± 0.1418,0.6500 ± 0.1418,0.3333 ± 0.1372,0.5250 ± 0.1478,0.6661 ± 0.0389,0.5200 ± 0.0562,0.5267 ± 0.0561,0.6250 ± 0.1437,0.4000 ± 0.0673,0.5423 ± 0.0809,0.4500 ± 0.0957,0.3000 ± 0.1868,0.6000 ± 0.1973,0.5000 ± 0.0962,0.6000 ± 0.1453,0.3700 ± 0.0930,0.2600 ± 0.0848,0.3250 ± 0.1395,0.6500 ± 0.1418,0.5750 ± 0.1059,0.6750 ± 0.1395,0.2500 ± 0.1784,0.3000 ± 0.1868,0.6000 ± 0.1453,0.5000 ± 0.2007,0.5269 ± 0.0602,0.0333 ± 0.0804,0.5500 ± 0.1473,0.3700 ± 0.0663,0.5000 ± 0.2007,0.4231 ± 0.1775,0.7250 ± 0.1336,0.6750 ± 0.1395,0.4524 ± 0.1441,0.7000 ± 0.1368,0.6304 ± 0.0399
Qwen2.5-7B-Unstructured-Sparse,0.5533 ± 0.0559,0.5500 ± 0.0559,0.6750 ± 0.1395,0.4300 ± 0.0680,0.7254 ± 0.0727,0.5600 ± 0.0955,0.3500 ± 0.1930,0.8000 ± 0.1677,0.4700 ± 0.0960,0.6750 ± 0.1395,0.8900 ± 0.0619,0.5200 ± 0.0961,0.6000 ± 0.1453,0.3500 ± 0.1418,0.6625 ± 0.1015,0.7000 ± 0.1368,0.4000 ± 0.1973,0.4000 ± 0.1973,0.6500 ± 0.1418,0.5500 ± 0.1999,0.6462 ± 0.0577,0.2000 ± 0.1390,0.9750 ± 0.0622,0.4150 ± 0.0677,0.1000 ± 0.1366,0.5769 ± 0.1775,0.5750 ± 0.1465,0.6750 ± 0.1395,0.4524 ± 0.1441,0.5750 ± 0.1465,0.6571 ± 0.0392,0.6000 ± 0.0551,0.7367 ± 0.0496,0.7250 ± 0.1336,0.6650 ± 0.0649,0.6127 ± 0.0791,0.4900 ± 0.0962,0.3500 ± 0.1930,0.7000 ± 0.1868,0.5300 ± 0.0960,0.7000 ± 0.1368,0.8600 ± 0.0681,0.4000 ± 0.0943,0.5750 ± 0.1465,0.4250 ± 0.1465,0.5875 ± 0.1055,0.7250 ± 0.1336,0.3500 ± 0.1930,0.3500 ± 0.1930,0.6750 ± 0.1395,0.4000 ± 0.1973,0.6346 ± 0.0581,0.0667 ± 0.0974,0.8250 ± 0.1160,0.4150 ± 0.0677,0.2500 ± 0.1784,0.7692 ± 0.1551,0.7500 ± 0.1300,0.6500 ± 0.1418,0.6905 ± 0.1348,0.9000 ± 0.0955,0.7071 ± 0.0376
Qwen2.5-14B-FP16,0.7300 ± 0.0500,0.9567 ± 0.0236,0.8500 ± 0.1101,0.9250 ± 0.0370,0.7394 ± 0.0715,0.7200 ± 0.0867,0.5500 ± 0.1999,0.9500 ± 0.1136,0.5300 ± 0.0960,0.7250 ± 0.1336,0.9100 ± 0.0571,0.5900 ± 0.0947,0.7750 ± 0.1259,0.5000 ± 0.1480,0.7000 ± 0.0985,0.8000 ± 0.1213,0.5500 ± 0.1999,0.4000 ± 0.1973,0.8750 ± 0.1033,0.7500 ± 0.1784,0.7923 ± 0.0491,0.0333 ± 0.0804,1.0000 ± 0.0000,0.4650 ± 0.0685,0.4500 ± 0.1999,0.7692 ± 0.1551,0.6500 ± 0.1418,0.5750 ± 0.1465,0.6190 ± 0.1409,0.8750 ± 0.1033,0.7375 ± 0.0364,0.8100 ± 0.0443,0.9633 ± 0.0219,0.8750 ± 0.1033,0.9450 ± 0.0324,0.7254 ± 0.0727,0.6400 ± 0.0925,0.4000 ± 0.1973,0.9500 ± 0.1136,0.5400 ± 0.0959,0.7000 ± 0.1368,0.9200 ± 0.0544,0.5500 ± 0.0957,0.8250 ± 0.1160,0.5750 ± 0.1465,0.7375 ± 0.0948,0.8250 ± 0.1160,0.6500 ± 0.1930,0.4500 ± 0.1999,0.8000 ± 0.1213,0.7500 ± 0.1784,0.7692 ± 0.0510,0.1000 ± 0.1108,1.0000 ± 0.0000,0.4500 ± 0.0683,0.4000 ± 0.1973,0.7692 ± 0.1551,0.8000 ± 0.1213,0.7250 ± 0.1336,0.7857 ± 0.1212,0.9250 ± 0.0864,0.7554 ± 0.0355
Qwen2.5-14B-BNB-4bit,0.7433 ± 0.0492,0.9400 ± 0.0273,0.7500 ± 0.1300,0.9150 ± 0.0391,0.7113 ± 0.0738,0.6500 ± 0.0919,0.4500 ± 0.1999,0.9000 ± 0.1366,0.5500 ± 0.0957,0.7250 ± 0.1336,0.9000 ± 0.0596,0.5800 ± 0.0950,0.7250 ± 0.1336,0.4500 ± 0.1473,0.7000 ± 0.0985,0.8250 ± 0.1160,0.5000 ± 0.2007,0.4000 ± 0.1973,0.8750 ± 0.1033,0.7500 ± 0.1784,0.7654 ± 0.0513,0.0333 ± 0.0804,1.0000 ± 0.0000,0.4250 ± 0.0679,0.4500 ± 0.1999,0.7308 ± 0.1619,0.5750 ± 0.1465,0.5500 ± 0.1473,0.5476 ± 0.1441,0.8250 ± 0.1160,0.7411 ± 0.0362,0.8100 ± 0.0443,0.9733 ± 0.0191,0.8750 ± 0.1033,0.9600 ± 0.0283,0.7113 ± 0.0738,0.6100 ± 0.0939,0.4000 ± 0.1973,0.9500 ± 0.1136,0.5400 ± 0.0959,0.6750 ± 0.1395,0.9100 ± 0.0571,0.5400 ± 0.0959,0.7750 ± 0.1259,0.5000 ± 0.1480,0.7250 ± 0.0961,0.8250 ± 0.1160,0.6000 ± 0.1973,0.5000 ± 0.2007,0.8750 ± 0.1033,0.6500 ± 0.1930,0.7346 ± 0.0534,0.0333 ± 0.0804,1.0000 ± 0.0000,0.4600 ± 0.0684,0.4500 ± 0.1999,0.7308 ± 0.1619,0.7500 ± 0.1300,0.7000 ± 0.1368,0.7857 ± 0.1212,0.9000 ± 0.0955,0.7339 ± 0.0365
Qwen2.5-14B-GPTQ-INT4,0.7133 ± 0.0509,0.7900 ± 0.0459,0.8500 ± 0.1101,0.6800 ± 0.0641,0.7183 ± 0.0732,0.7500 ± 0.0838,0.7000 ± 0.1868,0.9500 ± 0.1136,0.4900 ± 0.0962,0.7250 ± 0.1336,0.9100 ± 0.0571,0.5800 ± 0.0950,0.7750 ± 0.1259,0.4500 ± 0.1473,0.6750 ± 0.1006,0.7750 ± 0.1259,0.6000 ± 0.1973,0.5000 ± 0.2007,0.9250 ± 0.0864,0.7000 ± 0.1868,0.7846 ± 0.0498,0.0667 ± 0.0974,0.8500 ± 0.1101,0.4900 ± 0.0686,0.5000 ± 0.2007,0.7692 ± 0.1551,0.6250 ± 0.1437,0.6250 ± 0.1437,0.6429 ± 0.1392,0.8500 ± 0.1101,0.7036 ± 0.0377,0.8000 ± 0.0451,0.9167 ± 0.0315,0.8500 ± 0.1101,0.8600 ± 0.0481,0.6901 ± 0.0752,0.6700 ± 0.0907,0.5000 ± 0.2007,1.0000 ± 0.0000,0.5400 ± 0.0959,0.6500 ± 0.1418,0.9100 ± 0.0571,0.5600 ± 0.0955,0.8000 ± 0.1213,0.5250 ± 0.1478,0.7375 ± 0.0948,0.7750 ± 0.1259,0.6500 ± 0.1930,0.4500 ± 0.1999,0.8000 ± 0.1213,0.5500 ± 0.1999,0.7385 ± 0.0531,0.0667 ± 0.0974,0.9250 ± 0.0864,0.4350 ± 0.0681,0.4500 ± 0.1999,0.7308 ± 0.1619,0.7500 ± 0.1300,0.7250 ± 0.1336,0.8095 ± 0.1166,0.9250 ± 0.0864,0.7232 ± 0.0370
Qwen2.5-14B-AWQ,0.7600 ± 0.0481,0.9400 ± 0.0273,0.7750 ± 0.1259,0.9050 ± 0.0410,0.7183 ± 0.0732,0.7000 ± 0.0885,0.5000 ± 0.2007,0.9000 ± 0.1366,0.5200 ± 0.0961,0.7000 ± 0.1368,0.9100 ± 0.0571,0.6100 ± 0.0939,0.8000 ± 0.1213,0.5000 ± 0.1480,0.7125 ± 0.0974,0.7750 ± 0.1259,0.6000 ± 0.1973,0.4500 ± 0.1999,0.8750 ± 0.1033,0.6500 ± 0.1930,0.7500 ± 0.0524,0.0667 ± 0.0974,0.9000 ± 0.0955,0.4450 ± 0.0682,0.4000 ± 0.1973,0.7692 ± 0.1551,0.6000 ± 0.1453,0.5750 ± 0.1465,0.6429 ± 0.1392,0.6750 ± 0.1395,0.6821 ± 0.0385,0.8400 ± 0.0414,0.9200 ± 0.0310,0.8750 ± 0.1033,0.8750 ± 0.0459,0.7254 ± 0.0727,0.6500 ± 0.0919,0.4500 ± 0.1999,0.8500 ± 0.1540,0.5700 ± 0.0953,0.6750 ± 0.1395,0.9000 ± 0.0596,0.5700 ± 0.0953,0.7500 ± 0.1300,0.5250 ± 0.1478,0.6875 ± 0.0996,0.7750 ± 0.1259,0.5500 ± 0.1999,0.4500 ± 0.1999,0.8000 ± 0.1213,0.5000 ± 0.2007,0.7462 ± 0.0526,0.0333 ± 0.0804,0.9000 ± 0.0955,0.4150 ± 0.0677,0.5000 ± 0.2007,0.6923 ± 0.1674,0.8500 ± 0.1101,0.7500 ± 0.1300,0.8571 ± 0.1056,0.9250 ± 0.0864,0.7179 ± 0.0372
