Model,Faux-pas Recognition Test (ZH),Unexpected Outcome Test (ZH),Persuasion Story Task (ZH),False Belief Task (ZH),Ambiguous Story Task (ZH),Strange Story Task (ZH),Hinting Task Test (ZH),Scalar Implicature Test (ZH),Faux-pas Recognition Test (EN),Unexpected Outcome Test (EN),Persuasion Story Task (EN),False Belief Task (EN),Ambiguous Story Task (EN),Strange Story Task (EN),Hinting Task Test (EN),Scalar Implicature Test (EN)
Qwen2.5-7B-FP16,0.7071 ± 0.0376,0.6700 ± 0.0529,0.5100 ± 0.0962,0.7467 ± 0.0347,0.7100 ± 0.0624,0.6364 ± 0.0465,0.6505 ± 0.0906,0.5100 ± 0.0686,0.7214 ± 0.0370,0.6367 ± 0.0541,0.4800 ± 0.0961,0.7817 ± 0.0330,0.6650 ± 0.0649,0.7224 ± 0.0434,0.6990 ± 0.0873,0.5100 ± 0.0686
Qwen2.5-7B-BNB-4bit,0.7036 ± 0.0377,0.6667 ± 0.0530,0.3700 ± 0.0930,0.7133 ± 0.0361,0.7200 ± 0.0618,0.6462 ± 0.0463,0.6311 ± 0.0916,0.4850 ± 0.0686,0.7250 ± 0.0369,0.6567 ± 0.0534,0.5100 ± 0.0962,0.7650 ± 0.0339,0.6650 ± 0.0649,0.7371 ± 0.0426,0.6990 ± 0.0873,0.4750 ± 0.0686
Qwen2.5-7B-GPTQ-INT4,0.6839 ± 0.0384,0.7067 ± 0.0513,0.5300 ± 0.0960,0.7350 ± 0.0352,0.7500 ± 0.0596,0.6437 ± 0.0463,0.6408 ± 0.0911,0.4850 ± 0.0686,0.7125 ± 0.0374,0.6767 ± 0.0526,0.5400 ± 0.0959,0.7750 ± 0.0334,0.6800 ± 0.0641,0.7322 ± 0.0429,0.7087 ± 0.0865,0.4850 ± 0.0686
Qwen2.5-7B-AWQ,0.6875 ± 0.0383,0.6667 ± 0.0530,0.5200 ± 0.0961,0.7267 ± 0.0356,0.6850 ± 0.0639,0.6364 ± 0.0465,0.6019 ± 0.0929,0.4750 ± 0.0686,0.7018 ± 0.0378,0.6400 ± 0.0540,0.5500 ± 0.0957,0.7733 ± 0.0334,0.6650 ± 0.0649,0.7125 ± 0.0438,0.6019 ± 0.0929,0.4650 ± 0.0685
Qwen2.5-7B-2:4-Sparse,0.6661 ± 0.0389,0.5900 ± 0.0553,0.4300 ± 0.0953,0.4733 ± 0.0398,0.5200 ± 0.0686,0.5774 ± 0.0478,0.3689 ± 0.0916,0.3600 ± 0.0659,0.6304 ± 0.0399,0.3600 ± 0.0540,0.5000 ± 0.0962,0.5233 ± 0.0398,0.5250 ± 0.0686,0.6044 ± 0.0473,0.5049 ± 0.0948,0.3700 ± 0.0663
Qwen2.5-7B-Unstructured-Sparse,0.6571 ± 0.0392,0.6567 ± 0.0534,0.4700 ± 0.0960,0.5517 ± 0.0397,0.6950 ± 0.0633,0.6093 ± 0.0472,0.5728 ± 0.0938,0.4150 ± 0.0677,0.7071 ± 0.0376,0.5833 ± 0.0554,0.5300 ± 0.0960,0.6683 ± 0.0376,0.6100 ± 0.0670,0.6855 ± 0.0449,0.6408 ± 0.0911,0.4150 ± 0.0677
Qwen2.5-14B-FP16,0.7375 ± 0.0364,0.7400 ± 0.0494,0.5300 ± 0.0960,0.8433 ± 0.0291,0.7650 ± 0.0584,0.7076 ± 0.0440,0.8058 ± 0.0758,0.4650 ± 0.0685,0.7554 ± 0.0355,0.7033 ± 0.0514,0.5400 ± 0.0959,0.8867 ± 0.0254,0.7400 ± 0.0604,0.7764 ± 0.0404,0.7379 ± 0.0838,0.4500 ± 0.0683
Qwen2.5-14B-BNB-4bit,0.7411 ± 0.0362,0.7100 ± 0.0511,0.5500 ± 0.0957,0.8417 ± 0.0292,0.7500 ± 0.0596,0.6609 ± 0.0458,0.7573 ± 0.0818,0.4250 ± 0.0679,0.7339 ± 0.0365,0.6867 ± 0.0522,0.5400 ± 0.0959,0.8917 ± 0.0249,0.7250 ± 0.0614,0.7469 ± 0.0421,0.6893 ± 0.0880,0.4600 ± 0.0684
Qwen2.5-14B-GPTQ-INT4,0.7036 ± 0.0377,0.7467 ± 0.0490,0.4900 ± 0.0962,0.7517 ± 0.0345,0.7650 ± 0.0584,0.7027 ± 0.0442,0.7670 ± 0.0807,0.4900 ± 0.0686,0.7232 ± 0.0370,0.7133 ± 0.0509,0.5400 ± 0.0959,0.8583 ± 0.0279,0.7150 ± 0.0621,0.7494 ± 0.0420,0.6990 ± 0.0873,0.4350 ± 0.0681
Qwen2.5-14B-AWQ,0.6821 ± 0.0385,0.7400 ± 0.0494,0.5200 ± 0.0961,0.8500 ± 0.0286,0.7200 ± 0.0618,0.6806 ± 0.0451,0.7379 ± 0.0838,0.4450 ± 0.0682,0.7179 ± 0.0372,0.7067 ± 0.0513,0.5700 ± 0.0953,0.8800 ± 0.0260,0.7350 ± 0.0607,0.7813 ± 0.0401,0.6796 ± 0.0887,0.4150 ± 0.0677
