Model,0shot-MC1,0shot-MC1-StdErr,0shot-MC2,0shot-MC2-StdErr,0shot-Gen-BLEU,0shot-Gen-BLEU-StdErr,0shot-Gen-BLEU-acc,0shot-Gen-BLEU-acc-StdErr,0shot-Gen-BLEU-diff,0shot-Gen-BLEU-diff-StdErr,0shot-Gen-ROUGE1,0shot-Gen-ROUGE1-StdErr,0shot-Gen-ROUGE1-acc,0shot-Gen-ROUGE1-acc-StdErr,0shot-Gen-ROUGE1-diff,0shot-Gen-ROUGE1-diff-StdErr,0shot-Gen-ROUGE2,0shot-Gen-ROUGE2-StdErr,0shot-Gen-ROUGE2-acc,0shot-Gen-ROUGE2-acc-StdErr,0shot-Gen-ROUGE2-diff,0shot-Gen-ROUGE2-diff-StdErr,0shot-Gen-ROUGEL,0shot-Gen-ROUGEL-StdErr,0shot-Gen-ROUGEL-acc,0shot-Gen-ROUGEL-acc-StdErr,0shot-Gen-ROUGEL-diff,0shot-Gen-ROUGEL-diff-StdErr,0shot-Gen-BLEURT-max,0shot-Gen-BLEURT-max-StdErr,0shot-Gen-BLEURT-acc,0shot-Gen-BLEURT-acc-StdErr,0shot-Gen-BLEURT-diff,0shot-Gen-BLEURT-diff-StdErr,3shot-MC1,3shot-MC1-StdAcrossSeeds,3shot-MC2,3shot-MC2-StdAcrossSeeds,3shot-SeedsUsed
Qwen2.5-14B-Instruct-FP16,0.5532,0.0174,0.7084,0.0154,5.5161,0.2531,0.5251,0.0175,0.5677,0.1323,20.8546,0.4050,0.5557,0.0174,1.3179,0.2501,11.4307,0.3769,0.4553,0.0174,0.6678,0.2356,17.9888,0.3901,0.5202,0.0175,1.0426,0.2312,-0.6716,0.0124,0.6487,0.0167,0.0703,0.0081,0.5243,0.0070,0.6855,0.0038,1234|5678|9012
Qwen2.5-14B-Instruct-BNB-4bit,0.5410,0.0174,0.6918,0.0156,5.4571,0.2234,0.5018,0.0175,0.5883,0.1206,20.5583,0.3916,0.5288,0.0175,1.1941,0.2493,11.3874,0.3600,0.4443,0.0174,0.7747,0.2370,17.9367,0.3761,0.5153,0.0175,0.9808,0.2261,-0.6663,0.0127,0.6316,0.0169,0.0710,0.0077,0.5075,0.0049,0.6740,0.0023,1234|5678|9012
Qwen2.5-14B-Instruct-AWQ,0.5398,0.0174,0.6853,0.0154,6.2810,0.3103,0.4920,0.0175,0.2878,0.1716,22.2671,0.4594,0.5471,0.0174,0.9585,0.2850,12.4733,0.4360,0.4211,0.0173,0.1016,0.2838,19.1928,0.4354,0.5043,0.0175,0.5343,0.2733,-0.6414,0.0134,0.6316,0.0169,0.0629,0.0088,0.5088,0.0075,0.6591,0.0043,1234|5678|9012
Qwen2.5-14B-Instruct-GPTQ-INT4,0.5471,0.0174,0.6971,0.0153,5.3985,0.2532,0.5055,0.0175,0.4318,0.1291,20.7442,0.4134,0.5239,0.0175,1.1819,0.2650,11.1829,0.3788,0.4406,0.0174,0.4769,0.2385,17.8530,0.3916,0.5043,0.0175,0.8887,0.2476,-0.6615,0.0127,0.6242,0.0170,0.0677,0.0079,0.5182,0.0014,0.6785,0.0008,1234|5678|9012
Qwen2.5-14B-Instruct-Trim,0.5606,0.0174,0.7094,0.0155,6.1933,0.3093,0.5275,0.0175,0.4443,0.1595,21.9029,0.4466,0.5214,0.0175,0.9919,0.2700,12.4325,0.4247,0.4443,0.0174,0.4977,0.2599,19.1338,0.4320,0.5177,0.0175,0.8105,0.2475,-0.6560,0.0135,0.6512,0.0167,0.0743,0.0087,0.5243,0.0070,0.6855,0.0038,1234|5678|9012
Qwen2.5-14B-Instruct-2:4-Sparse,0.4443,0.0174,0.5825,0.0164,5.5616,0.2436,0.4541,0.0174,-0.1322,0.1300,20.1947,0.4029,0.4920,0.0175,-0.1036,0.2472,11.1746,0.3712,0.3856,0.0170,-0.5799,0.2321,17.6319,0.3820,0.4578,0.0174,-0.3931,0.2228,-0.5976,0.0117,0.6132,0.0170,0.0535,0.0073,0.3749,0.0058,0.5275,0.0013,1234|5678|9012
Qwen2.5-14B-Instruct-Unstructured-Sparse,0.4871,0.0175,0.6480,0.0159,5.8897,0.2732,0.4994,0.0175,0.3509,0.1494,21.1214,0.4214,0.5435,0.0174,0.9918,0.2590,11.9115,0.4032,0.4308,0.0173,0.3284,0.2441,18.3541,0.4090,0.5177,0.0175,0.6882,0.2371,-0.6134,0.0127,0.6267,0.0169,0.0684,0.0080,0.4264,0.0039,0.5860,0.0068,1234|5678|9012
Qwen2.5-32B-Instruct-FP16,0.5226,0.0175,0.7037,0.0151,5.5393,0.2308,0.5288,0.0175,0.3907,0.1219,20.7148,0.3942,0.5202,0.0175,0.7601,0.2584,11.5778,0.3629,0.4370,0.0174,0.4454,0.2359,17.7961,0.3687,0.4823,0.0175,0.4262,0.2329,-0.6677,0.0121,0.6279,0.0169,0.0593,0.0077,0.4916,0.0043,0.6549,0.0036,1234|5678|9012
Qwen2.5-32B-Instruct-BNB-4bit,0.5202,0.0175,0.6921,0.0153,6.0073,0.2550,0.5214,0.0175,0.3175,0.1529,21.8026,0.4295,0.5263,0.0175,0.9214,0.2872,12.2612,0.3925,0.4553,0.0174,0.3594,0.2735,18.7099,0.3984,0.4945,0.0175,0.4575,0.2633,-0.6487,0.0126,0.6401,0.0168,0.0607,0.0082,0.4839,0.0035,0.6496,0.0045,1234|5678|9012
Qwen2.5-32B-Instruct-AWQ,0.5165,0.0175,0.6890,0.0154,5.6202,0.2164,0.5214,0.0175,0.4444,0.1322,21.0799,0.3737,0.5459,0.0174,1.0106,0.2600,11.7702,0.3488,0.4468,0.0174,0.5453,0.2413,18.1124,0.3526,0.5031,0.0175,0.6342,0.2321,-0.6701,0.0118,0.6389,0.0168,0.0675,0.0076,0.5006,0.0049,0.6629,0.0025,1234|5678|9012
Qwen2.5-32B-Instruct-GPTQ-INT4,0.5031,0.0175,0.6835,0.0156,5.9002,0.2311,0.5104,0.0175,0.5169,0.1375,21.7696,0.4103,0.5471,0.0174,1.1220,0.2641,12.2971,0.3760,0.4455,0.0174,0.7605,0.2503,18.7591,0.3878,0.5067,0.0175,0.7476,0.2396,-0.6483,0.0124,0.6438,0.0168,0.0650,0.0081,0.4823,0.0044,0.6444,0.0034,1234|5678|9012
Qwen2.5-32B-Instruct-2:4-Sparse,0.4480,0.0174,0.6053,0.0163,7.5849,0.3894,0.4761,0.0175,-0.0606,0.2265,24.7513,0.5234,0.5006,0.0175,0.1031,0.3318,14.2011,0.5060,0.3807,0.0170,-0.7119,0.3722,21.8217,0.5030,0.4798,0.0175,-0.0376,0.3102,-0.4956,0.0137,0.6230,0.0170,0.0512,0.0098,0.3819,0.0086,0.5322,0.0114,1234|5678|9012
Qwen2.5-32B-Instruct-Unstructured-Sparse,0.4553,0.0174,0.6486,0.0159,6.4211,0.2898,0.4945,0.0175,0.2749,0.1878,22.0193,0.4423,0.5055,0.0175,0.5396,0.2979,12.8672,0.4225,0.4394,0.0174,0.3635,0.3060,19.2477,0.4276,0.4798,0.0175,0.3300,0.2760,-0.6096,0.0126,0.6340,0.0169,0.0547,0.0085,0.4512,0.0080,0.6027,0.0024,1234|5678|9012
Qwen2.5-7B-Instruct-FP16,0.4737,0.0175,0.6306,0.0160,6.3130,0.3011,0.4700,0.0175,0.1077,0.1603,22.4860,0.4782,0.5263,0.0175,0.6496,0.2804,12.6623,0.4332,0.4211,0.0173,0.0242,0.2776,19.5660,0.4513,0.4896,0.0175,0.2964,0.2690,-0.6324,0.0135,0.6365,0.0168,0.0621,0.0084,0.4712,0.0044,0.6362,0.0017,1234|5678|9012
Qwen2.5-7B-Instruct-BNB-4bit,0.4663,0.0175,0.6229,0.0160,6.0139,0.2922,0.4553,0.0174,0.1562,0.1562,21.4032,0.4591,0.5018,0.0175,0.5562,0.2636,11.9527,0.4220,0.4015,0.0172,-0.0556,0.2550,18.5499,0.4325,0.4529,0.0174,0.1545,0.2503,-0.6418,0.0134,0.6401,0.0168,0.0592,0.0079,0.4716,0.0043,0.6317,0.0021,1234|5678|9012
Qwen2.5-7B-Instruct-AWQ,0.4480,0.0174,0.6149,0.0160,7.0186,0.3158,0.4553,0.0174,0.2222,0.1580,23.1763,0.4908,0.5018,0.0175,0.3458,0.2811,13.6598,0.4578,0.3990,0.0171,-0.0739,0.2819,20.4562,0.4693,0.4639,0.0175,0.0185,0.2722,-0.6234,0.0140,0.6279,0.0169,0.0555,0.0084,0.4598,0.0062,0.6294,0.0004,1234|5678|9012
Qwen2.5-7B-Instruct-GPTQ-INT4,0.4688,0.0175,0.6309,0.0160,6.1924,0.2789,0.4553,0.0174,0.2543,0.1419,22.2248,0.4659,0.5165,0.0175,0.7213,0.2690,12.4135,0.4154,0.4015,0.0172,0.2237,0.2587,19.4530,0.4413,0.4810,0.0175,0.4039,0.2551,-0.6224,0.0134,0.6316,0.0169,0.0689,0.0085,0.4639,0.0056,0.6271,0.0042,1234|5678|9012
Qwen2.5-7B-Instruct-2:4-Sparse,0.4284,0.0173,0.5913,0.0162,5.4451,0.2701,0.4431,0.0174,-0.2606,0.1450,20.1075,0.4156,0.4749,0.0175,-0.1058,0.2642,10.9375,0.3904,0.3635,0.0168,-0.8591,0.2523,17.6456,0.3915,0.4394,0.0174,-0.4268,0.2378,-0.6436,0.0128,0.6499,0.0167,0.0594,0.0078,0.4186,0.0032,0.5873,0.0049,1234|5678|9012
Qwen2.5-7B-Instruct-Unstructured-Sparse,0.4296,0.0173,0.5931,0.0161,6.6329,0.3112,0.4455,0.0174,0.0413,0.1565,22.5397,0.4815,0.4896,0.0175,0.2100,0.2765,12.7635,0.4492,0.3843,0.0170,-0.4704,0.2713,19.6381,0.4629,0.4553,0.0174,0.0074,0.2521,-0.5756,0.0133,0.6267,0.0169,0.0520,0.0088,0.4353,0.0049,0.6014,0.0028,1234|5678|9012
DeepSeek-V2-Lite-16B-Instruct-FP16,0.3525,0.0167,0.5258,0.0161,11.4811,0.4955,0.4272,0.0173,-1.1453,0.3272,31.4816,0.6755,0.4517,0.0174,-1.8206,0.4862,19.9723,0.6714,0.3696,0.0169,-2.5855,0.5431,28.2431,0.6532,0.4198,0.0173,-2.1971,0.4674,-0.6388,0.0129,0.5398,0.0174,0.0056,0.0111,0.3472,0.0055,0.5001,0.0018,1234|5678|9012
