Model,Strict Match,Strict Match StdErr,Flexible Match,Flexible Match StdErr
Qwen2.5-7B-Instruct-FP16,0.3351,0.0130,0.7597,0.0118
Qwen2.5-7B-Instruct-BNB-4bit,0.2434,0.0118,0.7377,0.0121
Qwen2.5-7B-Instruct-AWQ,0.1971,0.0110,0.7202,0.0124
Qwen2.5-7B-Instruct-GPTQ-INT4,0.1691,0.0103,0.7225,0.0123
Qwen2.5-7B-Instruct-2:4-Sparse,0.3995,0.0135,0.5019,0.0138
Qwen2.5-7B-Instruct-Unstructured-Sparse,0.4367,0.0137,0.7036,0.0126
Qwen2.5-14B-Instruct-FP16,0.2767,0.0123,0.7779,0.0114
Qwen2.5-14B-Instruct-BNB-4bit,0.3419,0.0131,0.7672,0.0116
Qwen2.5-14B-Instruct-AWQ,0.1948,0.0109,0.7528,0.0119
Qwen2.5-14B-Instruct-GPTQ-INT4,0.1471,0.0098,0.7817,0.0114
Qwen2.5-14B-Instruct-Trim,0.4352,0.0137,0.7619,0.0117
Qwen2.5-14B-Instruct-2:4-Sparse,0.3950,0.0135,0.5444,0.0137
Qwen2.5-14B-Instruct-Unstructured-Sparse,0.4769,0.0138,0.7976,0.0111
Qwen2.5-32B-Instruct-FP16,0.3055,0.0127,0.8211,0.0106
Qwen2.5-32B-Instruct-BNB-4bit,0.2009,0.0110,0.8097,0.0108
Qwen2.5-32B-Instruct-AWQ,0.3366,0.0130,0.8370,0.0102
Qwen2.5-32B-Instruct-GPTQ-INT4,0.2638,0.0121,0.8317,0.0103
Qwen2.5-32B-Instruct-2:4-Sparse,0.2047,0.0111,0.6247,0.0133
Qwen2.5-32B-Instruct-Unstructured-Sparse,0.3268,0.0129,0.7915,0.0112
DeepSeek-V2-Lite-16B-FP16,0.1190,0.0089,0.5929,0.0135
DeepSeek-V2-Lite-16B-BNB-4bit,0.1168,0.0088,0.5307,0.0137
DeepSeek-V2-Lite-16B-AWQ,0.0220,0.0040,0.4534,0.0137
DeepSeek-V2-Lite-16B-2:4-Sparse,0.0432,0.0056,0.1054,0.0085
DeepSeek-V2-Lite-16B-Unstructured-Sparse,0.2661,0.0122,0.3397,0.0130
Meta-Llama-3.1-8B-Instruct-FP16,0.7991,0.0110,0.8446,0.0100
Meta-Llama-3.1-8B-Instruct-BNB-4bit,0.7779,0.0114,0.8211,0.0106
Meta-Llama-3.1-8B-Instruct-AWQ,0.7665,0.0117,0.8143,0.0107
Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,0.7096,0.0125,0.8006,0.0110
Meta-Llama-3.1-8B-Instruct-2:4-Sparse,0.1077,0.0085,0.1168,0.0088
Meta-Llama-3.1-8B-Instruct-Unstructured-Sparse,0.5102,0.0138,0.5444,0.0137
Llama-3.1-70B-Instruct-FP16,0.9014,0.0082,0.9469,0.0062
Llama-3.1-70B-Instruct-4bit,0.8597,0.0096,0.9212,0.0074
Llama-3.1-70B-Instruct-AWQ,0.8916,0.0086,0.9462,0.0062
Llama-3.1-70B-Instruct-GPTQ-INT4,0.8969,0.0084,0.9393,0.0066
Llama-3.1-70B-Instruct-GPTQ-INT8,0.8931,0.0085,0.9447,0.0063
Llama-3.1-70B-Instruct-2:4-Sparse,0.5489,0.0137,0.6164,0.0134
Llama-3.1-70B-Instruct-Unstructured-Sparse,0.8575,0.0096,0.9022,0.0082
